,artist_id,artist_name
10639,356068,Eric Johnson
10640,52703,Performance of the Day
10641,1167,Johnny Cash
10642,1277364,Loren Allred
10643,1277364,Loren Allred
10644,1433863,Hardwell & Kaaze
10645,59801,Michael Bublé
10646,1509815,Michael Mott
10647,458918,Magnatiz
10648,370868,Sophia Loren
10649,1628123,Shuga & Loren
10650,221669,Odell Shepard
10651,1628123,Shuga & Loren
10652,364644,Bomba Estéreo
10653,364644,Bomba Estéreo
10654,364644,Bomba Estéreo
10655,364644,Bomba Estéreo
10656,364644,Bomba Estéreo
10657,364644,Bomba Estéreo
10658,364644,Bomba Estéreo
10659,364644,Bomba Estéreo
10660,364644,Bomba Estéreo
10661,364644,Bomba Estéreo
10662,1514198,Liam Payne & Rita Ora
10663,17853,Rita Ora
10664,17853,Rita Ora
10665,17853,Rita Ora
10666,17853,Rita Ora
10667,17853,Rita Ora
10668,17853,Rita Ora
10669,17853,Rita Ora
10670,17853,Rita Ora
10671,17853,Rita Ora
10672,1560123,Karol G & Anuel AA
10673,1593953,Karol G & Bad Bunny
10674,1560123,Karol G & Anuel AA
10675,1593957,Karol G
10676,530703,Karol G
10677,530703,Karol G
10678,530703,Karol G
10679,1620292,Karol G & Maluma
10680,1433185,Karol G & Shaggy
10681,530703,Karol G
10682,1402753,Greeicy
10683,1402753,Greeicy
10684,1402753,Greeicy
10685,1402753,Greeicy
10686,1652866,Mike Bahía & Greeicy
10687,1240266,Genius Translations
10688,1402753,Greeicy
10689,1203137,The Rudeboyz (Producers)
10690,1438753,Aitana & Ana Guerra
10691,1012056,Feid
10692,1308689,Yuawi
10693,638833,Yawil
10694,1663759,BRU$ondabeat
10695,638831,Deuks
10696,1176075,Zouhair Bahaoui
10697,1073333,ElGrandeToto
10698,1073333,ElGrandeToto
10699,53820,William Gibson
10700,1375,Mister You
10701,19606,Parliament
10702,1130186,DJ Kass
10703,1130186,DJ Kass
10704,1130186,DJ Kass
10705,1130186,DJ Kass
10706,130,Drake
10707,69342,Spotify
10708,546789,Genius en Español
10709,1311883,TKND
10710,360231,Tali Goya
10711,69342,Spotify
10712,609667,Camila Cabello
10713,1416685,Machine Gun Kelly & Camila Cabello
10714,609667,Camila Cabello
10715,609667,Camila Cabello
10716,609667,Camila Cabello
10717,1258177,Camila Cabello & Daddy Yankee
10718,609667,Camila Cabello
10719,609667,Camila Cabello
10720,609667,Camila Cabello
10721,1740394,Shawn Mendes & Camila Cabello
10722,8362,Enrique Iglesias
10723,8362,Enrique Iglesias
10724,8362,Enrique Iglesias
10725,8362,Enrique Iglesias
10726,8362,Enrique Iglesias
10727,8362,Enrique Iglesias
10728,8362,Enrique Iglesias
10729,8362,Enrique Iglesias
10730,8362,Enrique Iglesias
10731,8362,Enrique Iglesias
10732,609667,Camila Cabello
10733,1416685,Machine Gun Kelly & Camila Cabello
10734,609667,Camila Cabello
10735,609667,Camila Cabello
10736,609667,Camila Cabello
10737,1258177,Camila Cabello & Daddy Yankee
10738,609667,Camila Cabello
10739,609667,Camila Cabello
10740,609667,Camila Cabello
10741,1740394,Shawn Mendes & Camila Cabello
10742,609667,Camila Cabello
10743,1416685,Machine Gun Kelly & Camila Cabello
10744,609667,Camila Cabello
10745,609667,Camila Cabello
10746,609667,Camila Cabello
10747,1258177,Camila Cabello & Daddy Yankee
10748,609667,Camila Cabello
10749,609667,Camila Cabello
10750,609667,Camila Cabello
10751,1740394,Shawn Mendes & Camila Cabello
10752,609667,Camila Cabello
10753,1416685,Machine Gun Kelly & Camila Cabello
10754,609667,Camila Cabello
10755,609667,Camila Cabello
10756,609667,Camila Cabello
10757,1258177,Camila Cabello & Daddy Yankee
10758,609667,Camila Cabello
10759,609667,Camila Cabello
10760,609667,Camila Cabello
10761,1740394,Shawn Mendes & Camila Cabello
10762,609667,Camila Cabello
10763,1416685,Machine Gun Kelly & Camila Cabello
10764,609667,Camila Cabello
10765,609667,Camila Cabello
10766,609667,Camila Cabello
10767,1258177,Camila Cabello & Daddy Yankee
10768,609667,Camila Cabello
10769,609667,Camila Cabello
10770,609667,Camila Cabello
10771,1740394,Shawn Mendes & Camila Cabello
10772,609667,Camila Cabello
10773,1416685,Machine Gun Kelly & Camila Cabello
10774,609667,Camila Cabello
10775,609667,Camila Cabello
10776,609667,Camila Cabello
10777,1258177,Camila Cabello & Daddy Yankee
10778,609667,Camila Cabello
10779,609667,Camila Cabello
10780,609667,Camila Cabello
10781,1740394,Shawn Mendes & Camila Cabello
10782,609667,Camila Cabello
10783,1416685,Machine Gun Kelly & Camila Cabello
10784,609667,Camila Cabello
10785,609667,Camila Cabello
10786,609667,Camila Cabello
10787,1258177,Camila Cabello & Daddy Yankee
10788,609667,Camila Cabello
10789,609667,Camila Cabello
10790,609667,Camila Cabello
10791,1740394,Shawn Mendes & Camila Cabello
10792,609667,Camila Cabello
10793,1416685,Machine Gun Kelly & Camila Cabello
10794,609667,Camila Cabello
10795,609667,Camila Cabello
10796,609667,Camila Cabello
10797,1258177,Camila Cabello & Daddy Yankee
10798,609667,Camila Cabello
10799,609667,Camila Cabello
