,Unnamed: 0,artist,date,position,streams,track_name,url
32730,32730,Coldplay,2017-06-16,131,51847,All I Can Think About Is You,https://open.spotify.com/track/4gDyoe1FImDlXVt58ssnMf
32742,32742,The Killers,2017-06-16,143,48171,The Man,https://open.spotify.com/track/3cRQnpGJ2pJEjQxBIdbKZP
33188,33188,La Arrolladora Banda El Limón De Rene Camacho,2017-06-18,189,32358,Ya Es Muy Tarde,https://open.spotify.com/track/47ehW8KNY6XhEtwMYAY0br
33199,33199,Gerardo Ortiz,2017-06-18,200,31450,Fuiste Mía,https://open.spotify.com/track/2SaB5fVysOqdJQnjDEBcPW
33359,33359,DJ Khaled,2017-06-19,160,39911,Wild Thoughts (feat. Rihanna & Bryson Tiller),https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
33376,33376,Axwell /\ Ingrosso,2017-06-19,177,37762,More Than You Know,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
34061,34061,Imagine Dragons,2017-06-23,62,93082,I Don’t Know Why,https://open.spotify.com/track/15dnkAHcHC0vrIUlbiPiqU
34095,34095,Imagine Dragons,2017-06-23,96,61439,Whatever It Takes,https://open.spotify.com/track/4IWAyPf1KMq7JCyGeCjTeH
34099,34099,Romeo Santos,2017-06-23,100,60882,Imitadora,https://open.spotify.com/track/6r46lnXFbE9fr2d3KNaGbe
34120,34120,Imagine Dragons,2017-06-23,121,54285,Walking The Wire,https://open.spotify.com/track/6jmngk8Fwup05JZ6kgXEGX
34142,34142,Kevin Roldan,2017-06-23,143,49296,Me Gustas,https://open.spotify.com/track/2d8rQXA25Yk5ZE3XW1eTXs
34185,34185,Abraham Mateo,2017-06-23,186,41222,Loco Enamorado,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB
34370,34370,Bad Bunny,2017-06-24,171,40392,"Soy Peor Remix (feat. J Balvin, Ozuna & Arcangel)",https://open.spotify.com/track/4UG962ViiLqoUyx0RjCcwP
34388,34388,Karol G,2017-06-24,189,37887,Ahora Me Llama,https://open.spotify.com/track/61HHDBLqF3AmSvLfHKNGd2
34739,34739,Drake,2017-06-26,140,44379,Signs,https://open.spotify.com/track/5EnYT6F7wEcdege6mDHEfO
34990,34990,Julia Michaels,2017-06-27,191,38486,Uh Huh,https://open.spotify.com/track/7hCcLbNDCVPNqAwuoutJ31
35415,35415,J Balvin,2017-06-30,16,208386,Mi Gente,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
35468,35468,Axwell /\ Ingrosso,2017-06-30,69,82330,More Than You Know,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
